==PROF== Importing kernel demangled names from /root/.config/NVIDIA Corporation/ncu-kernel-renames.yaml
==PROF== Connected to process 3258214 (/home/zaineb/gpu-code-mapping/matmul)
C[0][0] = 0.000000
==PROF== Disconnected from process 3258214
==PROF== Report: /home/zaineb/gpu-code-mapping/ncu_reports/6th_report.ncu-rep
"Kernel Name","naiveMatMul(float *, float *, float *, int)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x202155210","@!P0  BRA 0x2021559b0","2","0","2","8192","262144","0","32","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x202155220","      ISETP.GT.AND P1, PT, R22, 0xc, PT","3","0","3","8192","262144","262144","32","32","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x202155230","      PLOP3.LUT P0, PT, PT, PT, PT, 0x80, 0x0","0","0","0","8192","262144","262144","32","32","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x202155240","@!P1  BRA 0x2021556f0","6","4","6","8192","262144","0","32","0","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"0x202155250","      PLOP3.LUT P0, PT, PT, PT, PT, 0x8, 0x0","3","2","3","8192","262144","262144","32","32","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0x202155260","      MOV R2, UR6","37","6","37","262144","8388608","8388608","32","32","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","20","4","0","0","0","0","2","0","0","0","8","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"0x202155270","      IMAD.WIDE R4, R19, 0x4, R6","7","3","7","262144","8388608","8388608","32","32","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0x202155280","      MOV R3, UR7","13","1","13","262144","8388608","8388608","32","32","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x202155290","      LDG.E R35, [R6.64]","852","430","852","262144","8388608","8388608","32","32","0","Global","Load","32","262144","0","0","524288","524288","","0","0","0","0","0","0","0","0","71","0","0","589","0","0","0","2","0","0","185","5","0","0","0","0","0","0","23","0","0","407","0","0","0","0","0","0","0","0","0","0","0","0"
"0x2021552a0","      IMAD.WIDE R2, R21, 0x4, R2","49","5","49","262144","8388608","8388608","32","32","0","-","-","-","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","4","8","0","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"0x2021552b0","      LDG.E R27, [R4.64]","1551","798","1551","262144","8388608","8388608","32","32","0","Global","Load","32","262144","0","0","524288","524288","","0","0","0","0","0","0","0","0","137","0","0","1075","0","0","0","2","0","0","331","6","0","0","0","0","0","0","57","0","0","740","0","0","0","1","0","0","0","0","0","0","0","0"
"0x2021552c0","      LDG.E R36, [R2.64]","1552","795","1552","262144","8388608","8388608","32","32","0","Global","Load","32","524288","0","0","524288","524288","","0","0","0","0","0","0","0","0","162","0","0","1000","0","0","0","4","0","0","353","6","0","0","0","27","0","0","78","0","0","706","0","0","0","2","0","0","0","0","0","0","0","9"
